10104,2020-02-22 00:00,'200007','V','FAZAL QADIR MARBLE INDUSTRY','OPP. KUND PARK G.T.ROAD KHAIRAABAD ','NOWSHERA, KPK',0,18000,'1','1','Admin',2020-02-23 10:54:53.554000,,'dc#476',104,'NOWSHERA, KPK','01','400001','PURCHASE A/C'
10105,2020-02-23 00:00,'200013','V','AMMAR GRINDING MILLS','PLOT # 75A, PHASE 3, HATTAR INDUSTRIAL ESTATE, HARIPUR','HARIPUR',0,90000,'1','1','Admin',2020-02-23 11:27:06.595000,,'dc#617',105,'HARIPUR','01','400001','PURCHASE A/C'
10107,2020-02-22 00:00,'200037','V','MISC VENDOR',,,0,21654,'1','1','Admin',2020-02-24 11:29:38.516000,,,107,,'01','400001','PURCHASE A/C'
10108,2020-02-23 00:00,'200037','V','MISC VENDOR',,,0,5400,'1','1','Admin',2020-02-24 11:30:27.692000,,,108,,'01','400001','PURCHASE A/C'
10109,2020-01-12 00:00,'200037','V','MISC VENDOR',,,0,4716,'1','1','Admin',2020-02-25 10:53:47.464000,,'from shafi sons ',109,,'01','400001','PURCHASE A/C'
10110,2020-01-13 00:00,'200037','V','MISC VENDOR',,,0,22104,'1','1','Admin',2020-02-25 10:57:43.426000,,'from shafi sons soap factory',110,,'01','400001','PURCHASE A/C'
10111,2020-02-15 00:00,'200037','V','MISC VENDOR',,,0,263430,'1','1','Admin',2020-02-25 11:22:04.926000,,'TANKER FROM SHAFI SONS',111,,'01','400001','PURCHASE A/C'
10112,2020-01-09 00:00,'200037','V','MISC VENDOR',,,0,16308,'1','1','HAMMAD',2020-02-25 14:35:02.430000,'3 DRUM','FROM SHAFI SONS SOAP',112,,'01','400001','PURCHASE A/C'
10113,2020-02-23 00:00,'200010','V','OLYMPIA CHEMICALS LIMITED ','QAIDABAD','QAIDABAD',0,588000,'1','1','Admin',2020-02-25 18:29:09.800000,,'400 bags ',113,'QAIDABAD','01','400001','PURCHASE A/C'
10114,2020-02-23 00:00,'200018','V','MOBEEN PAPERS MART','GUJRANWALA','GUJRANWALA',0,46570,'0','1','Admin',2020-02-26 10:26:00.493000,,'5587',114,'GUJRANWALA','01','400001','PURCHASE A/C'
10115,2020-02-25 00:00,'200013','V','AMMAR GRINDING MILLS','PLOT # 75A, PHASE 3, HATTAR INDUSTRIAL ESTATE, HARIPUR','HARIPUR',0,117000,'1','1','Admin',2020-02-27 12:49:30.217000,,,115,'HARIPUR','01','400001','PURCHASE A/C'
10116,2020-02-15 00:00,'200010','V','OLYMPIA CHEMICALS LIMITED ','QAIDABAD','QAIDABAD',0,28500,'1','1','HAMMAD',2020-02-27 17:12:23.696000,'GHOUSIA GOODS 5 BAGS OF 50KGS',' BILTY NO 4325',116,'QAIDABAD','01','400001','PURCHASE A/C'
